Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
8,Eight,8,,0,
11,Eleven,11,,1,
15,Fifteen,15,,2,
5,Five,5,,3,
4,Four,4,,4,
14,Fourteen,14,,5,
9,Nine,9,,6,
1,One,1,,7,
7,Seven,7,,8,
6,Six,6,,9,
10,Ten,10,,10,
13,Thirteen,13,,11,
3,Three,3,,12,
12,Twelve,12,,13,
2,Two,2,,14,
0,Zero,0,,15,
