Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
gq2,Banque des États de l’Afrique Centrale (BEAC) (Equatorial Guinea),GQ2,,115,
ga2,Banque des États de l’Afrique Centrale (BEAC) (Gabon),GA2,,116,
lb2,Banque du Liban (Lebanon),LB2,,117,
dz2,Banque d’Algérie,DZ2,,118,
bb1,Barbados Statistical Service,BB1,,119,
bm1,Bermuda Government - Department of Statistics,BM1,,120,
bm2,Bermuda Monetary Authority,BM2,,121,
7g0,Black Sea Trade and Development Banks,7G0,,122,
us3,Board of Governors of the Federal Reserve System (USA),US3,,123,
4j820,Body of European Regulators for Electronic Communications,4J820,,124,
ba4,Bosnia and Herzegovina Ministry of Finance and Treasury,BA4,,125,
br1,Brazilian Institute of Statistics and Geography (IBGE) (Brazil),BR1,,126,
bn2,Brunei Currency and Monetary Board (BCMB),BN2,,127,
bg2,Bulgarian National Bank,BG2,,128,
de4,Bundesministerium der Finanzen (Germany),DE4,,129,
sx1,Bureau for Statistics Sint Maarten,SX1,,130,
us7,Bureau of Census,US7,,131,
us8,Bureau of Economic Analysis,US8,,132,
us6,Bureau of Labor Statistics,US6,,133,
fj1,Bureau of Statistics (Fiji),FJ1,,134,
jp1,Bureau of Statistics (Japan),JP1,,135,
ls1,Bureau of Statistics (Lesotho),LS1,,136,
ph3,Bureau of the Treasury (Philippines),PH3,,137,
be9,Bureau van Dijk (Belgium),BE9,,138,
gb98,CAA (Civil Aviation Authority),GB98,,139,
5t0,CABEI (Central American Bank for Economic Integration),5T0,,140,
5p0,CASDB (Central African States Development Bank),5P0,,141,
5l0,CDB (Caribbean Development Bank),5L0,,142,
7e0,CEB (Council of Europe Development Bank),7E0,,143,
5x0,CEMAC (Communauté Économique et Monétaire de l’Afrique Centrale),5X0,,144,
6p0,CERN (European Organisation for Nuclear Research),6P0,,145,
lu6,CSSF (Luxembourg Financial Sector Surveillance Commission),LU6,,146,
6a30,Caribbean Community and Common Market,6A30,,147,
ky2,Cayman Islands Monetary Authority,KY2,,148,
hk1,"Census and Statistics Department (China, P.R.: Hong Kong)",HK1,,149,
ly1,Census and Statistics Directorate (Libya),LY1,,150,
lb1,Central Administration of Statistics (Lebanon),LB1,,151,
eg1,Central Agency for Public Mobilization and Stats. (Egypt),EG1,,152,
6a40,Central American Common Market,6A40,,153,
am2,Central Bank of Armenia,AM2,,154,
bb2,Central Bank of Barbados,BB2,,155,
bz2,Central Bank of Belize,BZ2,,156,
ba2,Central Bank of Bosnia and Herzegovina,BA2,,157,
cw2,Central Bank of Curacao and Sint Maarten,CW2,,158,
cy2,Central Bank of Cyprus,CY2,,159,
eg2,Central Bank of Egypt,EG2,,160,
is2,Central Bank of Iceland,IS2,,161,
iq2,Central Bank of Iraq,IQ2,,162,
ie2,Central Bank of Ireland (Ireland),IE2,,163,
jo2,Central Bank of Jordan,JO2,,164,
ke2,Central Bank of Kenya,KE2,,165,
kw2,Central Bank of Kuwait,KW2,,166,
ls2,Central Bank of Lesotho,LS2,,167,
lr2,Central Bank of Liberia,LR2,,168,
ly2,Central Bank of Libya,LY2,,169,
lu2,Central Bank of Luxembourg,LU2,,170,
mt2,Central Bank of Malta,MT2,,171,
me2,Central Bank of Montenegro,ME2,,172,
mm2,Central Bank of Myanmar,MM2,,173,
ng2,Central Bank of Nigeria,NG2,,174,
om2,Central Bank of Oman,OM2,,175,
ru2,Central Bank of Russian Federation,RU2,,176,
ws2,Central Bank of Samoa,WS2,,177,
sc2,Central Bank of Seychelles,SC2,,178,
sb2,Central Bank of Solomon Islands,SB2,,179,
so2,Central Bank of Somalia,SO2,,180,
lk2,Central Bank of Sri Lanka,LK2,,181,
sz2,Central Bank of Swaziland,SZ2,,182,
sy2,Central Bank of Syria,SY2,,183,
tt2,Central Bank of Trinidad and Tobago,TT2,,184,
tm2,Central Bank of Turkmenistan,TM2,,185,
ye2,Central Bank of Yemen,YE2,,186,
gm2,Central Bank of the Gambia,GM2,,187,
ph2,Central Bank of the Philippines,PH2,,188,
tw2,Central Bank of the Republic of China (Taiwan),TW2,,189,
xk2,Central Bank of the Republic of Kosovo,XK2,,190,
tr2,Central Bank of the Republic of Turkey,TR2,,191,
ae2,Central Bank of the United Arab Emirates,AE2,,192,
