Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
f5a,Equity and investment fund shares/units: other than reinvestment of earnings,F5A,,100,
f5ae,Equity and investment fund shares/units: other than reinvestment of earnings: Extension of capital,F5AE,,101,
f5af,Equity and investment fund shares/units: other than reinvestment of earnings: Financial restructuring,F5AF,,102,
f5ag,Equity and investment fund shares/units: other than reinvestment of earnings: Greenfield,F5AG,,103,
f5am,Equity and investment fund shares/units: other than reinvestment of earnings: Merger & Acquisitions (M&A) type,F5AM,,104,
f5b,Equity and investment fund shares/units: reinvestment of earnings,F5B,,105,
f5be,Equity and investment fund shares/units: reinvestment of earnings: Extension of capital,F5BE,,106,
f5bg,Equity and investment fund shares/units: reinvestment of earnings: Greenfield,F5BG,,107,
f51a,Equity: other than reinvestment of earnings,F51A,,108,
f51b,Equity: reinvestment of earnings,F51B,,109,
fcy,Explicit contingent liabilities,FCY,,110,
f71,Financial derivatives,F71,,111,F71=F711+F712
f7,Financial derivatives and employee stock options,F7,,112,F7=F71+F72
f7t8,Financial derivatives and employee stock options; other accounts receivable/payable,F7T8,,113,F7T8=F7+F8
fxf2,Financial instruments other than currency and deposits,FXF2,,114,FR10=F-F2
fi,Financial investment,FI,,115,
fd,Financing,FD,,116,
n123g,Finished goods (gross),N123G,,117,
n123n,Finished goods (net),N123N,,118,
n11g,Fixed assets by type of asset (gross),N11G,,119,
n11n,Fixed assets by type of asset (net),N11N,,120,
n1og,Fixed assets by type of assets and inventories (gross),N1OG,,121,N1OG=N11G+N12G
n1on,Fixed assets by type of assets and inventories (net),N1ON,,122,N1ON=N11N+N12N
n11rg,Fixed assets other than dwellings (gross),N11RG,,123,N11RG=N11G-N111G
n11rn,Fixed assets other than dwellings (net),N11RN,,124,N11RN=N11N-N111N
n21122,Forestry land,N21122,,125,
f712,Forward type,F712,,126,
f712a,Forwards,F712A,,127,
f71ff,Forwards and futures,F71FF,,128,
f71fo,"Forwards, futures and options",F71FO,,129,
f712b,Futures,F712B,,130,
f11a,Gold bullion,F11A,,131,
n125g,Goods for resale (gross),N125G,,132,
n125n,Goods for resale (net),N125N,,133,
gdxfam,Government debt excluding government assistance to the financial corporations,GDXFAM,,134,government debt (GD) - impact on government debt related to government assistance to the financial corporations
fged,Gross external debt,FGED,,135,"FGED= F12+F2+F3+F4+F6+F8; In some data flow definitions the integrity rules are shown in a different format in order to explain to users their practical implementation. However, in none of the cases double counting is allowed."
fcga,Guarantees and asset swaps/lending (FAM concept),FCGA,,136,FCGA=F_SPVG+FXSPVG+FCA
fxgg,Guarantees provided to other sectors than general government,FXGG,,137,
f_spvg,Guarantees provided to special purpose vehicles (FAM concept),F_SPVG,,138,
f3h,High quality tradable securities,F3H,,139,
nun,Housing wealth (net),NUN,,140,
n1132g,ICT equipment (gross),N1132G,,141,
n1132n,ICT equipment (net),N1132N,,142,
n113kg,ICT equipment and other machinery and equipment (Machinery and equipment other than transport equipment) (gross),N113KG,,143,N113KG=N1132G+N1139G
n113kn,ICT equipment and other machinery and equipment (Machinery and equipment other than transport equipment) (net),N113KN,,144,N113KN=N1132N+N1139N
fia,Impaired assets,FIA,,145,
fgdi,Indirect impact on gross debt,FGDI,,146,
f3vra,Inflation-linked variable rate,F3VRA,,147,
f6,"Insurance, pension and standardized guarantee schemes",F6,,148,F6=F61+F62+F63+F64+F65+F66
f6fr,"Insurance, pension and standardized guarantee schemes, fixed rate",F6FR,,149,
f6vr,"Insurance, pension and standardized guarantee schemes, variable rate",F6VR,,150,
n2kg,Intangible nonproduced assets (gross),N2KG,,151,N2KG = N22G + N23G
n2kn,Intangible nonproduced assets (net),N2KN,,152,N2KN = N22N + N23N
n117g,Intellectual property products (gross),N117G,,153,
n117n,Intellectual property products (net),N117N,,154,
f221,Inter-bank positions,F221,,155,
f221t,"Inter-bank positions, of which TARGET accounts",F221T,,156,
f221c,"Inter-bank positions, of which intra-Eurosystem Technical claims",F221C,,157,
f3vrb,Interest rate-linked variable rate,F3VRB,,158,
f71k,Interest relating to swaps and forward rate arrangements (FRAs) (+/-),F71K,,159,
n12g,Inventories by type of inventory (gross),N12G,,160,
n12n,Inventories by type of inventory (net),N12N,,161,
n1mg,Inventories by type of inventory and valuables (gross),N1MG,,162,N12G+N13G
n1mn,Inventories by type of inventory and valuables (net),N1MN,,163,N12N+N13N
f52,Investment fund shares/units,F52,,164,"F52=F521+F522, F52=F52A+F52B"
fo1,"Investment fund shares/units, insurance, pension, and standardized guaranteed schemes",FO1,,165,FO1=F52+F6
fo2,"Investment fund shares/units, life insurance, and pension",FO2,,166,FO2=F52+F62+F6M
f52a,Investment fund shares/units: other than reinvestment of earnings,F52A,,167,
f52b,Investment fund shares/units: reinvestment of earnings,F52B,,168,
n211g,Land (gross),N211G,,169,
n211n,Land (net),N211N,,170,
n1123g,Land improvements (gross),N1123G,,171,
n1123n,Land improvements (net),N1123N,,172,
n2112g,Land under cultivation (gross),N2112G,,173,
n2112n,Land under cultivation (net),N2112N,,174,
n2111,Land underlying buildings and structures,N2111,,175,N2111=N21111+N21112
n2111g,Land underlying buildings and structures (gross),N2111G,,176,
n2111n,Land underlying buildings and structures (net),N2111N,,177,
n211121,Land underlying buildings other than dwellings,N211121,,178,
n21111,Land underlying dwellings,N21111,,179,
n2111ag,Land underlying dwellings (gross),N2111AG,,180,
n2111an,Land underlying dwellings (net),N2111AN,,181,
n2111a,"Land underlying dwellings [deprecated, replaced by N21111]",N2111A,,182,
n21112,Land underlying other buildings and structures,N21112,,183,
f4p,Lending by RRF programme (pandemic recovery),F4P,,184,
f4s,Lending by SURE programme (pandemic recovery),F4S,,185,
f_g,Liabilities and assets outside general government under guarantee,F_G,,186,
f_spv,Liabilities related to special purpose entities (EDP-FC concept),F_SPV,,187,
f62,Life insurance and annuity entitlements,F62,,188,
f62b,"Life insurance and annuity entitlements, of which non-unit-linked",F62B,,189,
f62a,"Life insurance and annuity entitlements, of which unit linked",F62A,,190,
