Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
f512,Unlisted shares,F512,,421,
f51m,Unlisted shares and other equity,F51M,,422,F512+F519
n13g,Valuables (gross),N13G,,423,
n13n,Valuables (net),N13N,,424,
n214g,Water resources (gross),N214G,,425,
n214n,Water resources (net),N214N,,426,
n114g,Weapons systems (gross),N114G,,427,
n114n,Weapons systems (net),N114N,,428,
n122g,Work-in-progress (gross),N122G,,429,
n122n,Work-in-progress (net),N122N,,430,
n1221g,Work-in-progress on cultivated biological assets (gross),N1221G,,431,
n1221n,Work-in-progress on cultivated biological assets (net),N1221N,,432,
